Material Composition,Fabrication Technique,Tensile Strength (MPa),Thermal Conductivity (W/m·K),Elastic Modulus (GPa),Density (g/cm³),Fiber Volume Fraction (%)
Polymer Matrix,Langmuir-Blodgett,1139.4246401765708,37.72118675593477,94.7380136504256,2.441895272077977,40.93137141613961
Carbon Nanotubes,Langmuir-Blodgett,947.5089656863399,30.162459307359715,123.95127438636831,1.5161019783286869,47.121685395752856
Graphene,Electrospinning,1162.1730123235727,29.022113680095224,83.24574770073596,2.257627073109987,53.330115540626714
Carbon Nanotubes,Electrospinning,1206.6836957051237,37.662334673021725,183.20473585476697,1.5725097358486808,57.821429593133516
Polymer Matrix,Electrospinning,1393.029958085968,17.849281848761763,172.93498025592885,1.5779221053270396,41.48448333985952
Polymer Matrix,Langmuir-Blodgett,1455.8616803747382,49.25954654646879,176.47912313575674,2.154132291779806,53.179087258510165
Graphene,Electrospinning,1014.3209323909114,35.81226121089796,94.95949862798824,2.4089325566760174,49.741541104976385
Carbon Nanotubes,Langmuir-Blodgett,1298.4945335265625,24.626246984474246,99.3058028407768,1.7876963341451504,53.729778143950625
Polymer Matrix,Langmuir-Blodgett,1464.509555991655,34.00808832280645,207.47805182375004,1.7693061789154316,46.34405106330369
Graphene,Electrospinning,651.243338146966,18.658834531584812,188.02235451170307,2.1177118237859394,54.21402564187126
Polymer Matrix,Electrospinning,518.2679816096767,35.353674594198246,225.03596983350823,2.2762808308635654,43.60523403700575
Polymer Matrix,Electrospinning,1368.963772848294,11.128685629511894,130.70114355535907,2.3689591197249946,55.50799143025225
Carbon Nanotubes,Electrospinning,695.2733332471607,23.647276456334648,159.46556641955056,1.7497061485849796,54.98698529358977
Polymer Matrix,Electrospinning,542.4787666318009,39.900675869900255,197.7555411860827,2.2401991791010802,58.93573325967469
Carbon Nanotubes,Langmuir-Blodgett,660.0961376574446,42.319113964565595,244.8309938065113,1.8072120904941325,43.46447825883734
Polymer Matrix,Langmuir-Blodgett,884.1149112437693,20.116776532558724,247.92636256913914,2.0448119202902255,54.43997040871818
Graphene,Langmuir-Blodgett,719.2657015925801,31.57637845119946,249.83508249565608,1.690852471294084,46.45300088874241
Polymer Matrix,Electrospinning,805.253629100443,31.13971558756472,228.1052966129613,1.6460020240830737,45.6371367161995
Carbon Nanotubes,Langmuir-Blodgett,1475.2940514300462,26.85824185507122,177.93016382741558,2.4353035501338374,48.03191224785003
Carbon Nanotubes,Electrospinning,1204.405544162575,19.13731931011914,51.39419015789055,2.047199250404561,45.70403125814414
Graphene,Electrospinning,1212.191728253204,38.12912932915091,189.90875265555124,1.5045895469930552,44.96387041328306
Polymer Matrix,Langmuir-Blodgett,594.6853747279229,20.094467269820786,97.71990322738824,2.293436544114628,55.36770486034037
Polymer Matrix,Langmuir-Blodgett,1232.0983698226917,46.441029486264625,61.43342946204875,2.1908701320313586,53.99007010867905
Graphene,Electrospinning,1239.344332955305,31.140051644740105,189.43688578902723,1.8258828045774966,42.18716992789506
Polymer Matrix,Langmuir-Blodgett,1159.7450184066322,44.819133492424875,201.20218543523868,1.9639642824923234,51.20362852540629
Polymer Matrix,Electrospinning,728.436295997875,21.629708832166557,181.8866240335499,1.9498794973126157,46.62005308535862
Carbon Nanotubes,Langmuir-Blodgett,923.036179082185,42.28316625034928,123.03395676325127,1.7747696952085246,59.420692849964425
Polymer Matrix,Langmuir-Blodgett,1346.2764546696253,14.5465433959997,152.20082481582466,2.480557040097345,48.50085529543664
Polymer Matrix,Langmuir-Blodgett,1170.2016293406264,40.67321368029574,236.98952539914947,2.0438850827298887,40.81147353152806
Graphene,Langmuir-Blodgett,1232.7688349999023,25.47783399701209,195.92219319538845,2.397279440952669,46.634322481619634
Graphene,Langmuir-Blodgett,1087.3744001258087,28.799603552743474,150.93684669986717,2.0853553856617433,46.25415476378865
Carbon Nanotubes,Electrospinning,949.5865991117785,16.672292810382913,168.68983039021444,2.190183123568506,40.11269510794377
Polymer Matrix,Langmuir-Blodgett,1259.0520100671083,10.745107540975694,235.53671966927126,1.529542443477087,49.75564586176775
Polymer Matrix,Langmuir-Blodgett,567.925814366305,36.64789972513127,128.7565044539355,2.011818549394387,58.1159226799942
Polymer Matrix,Langmuir-Blodgett,1173.160732780264,33.50873133601673,70.36874309721806,2.221276782888239,56.04626481426515
Carbon Nanotubes,Electrospinning,1497.2045078506792,34.8971260827863,115.16524834061428,1.6218630382380321,53.69306904573301
Carbon Nanotubes,Electrospinning,1280.1919294680315,20.200070321076794,133.0400429472573,2.1783249625348517,46.87069401998728
Graphene,Electrospinning,790.5635115774553,19.57109851532424,104.59277397209766,1.584272226933333,44.63927464605703
Carbon Nanotubes,Electrospinning,777.8194947053805,43.211852450769904,155.79448105001006,2.3070229178088346,46.85233046157646
Polymer Matrix,Electrospinning,1167.2186105934588,40.45011010372932,110.97157502921547,2.477783840176275,42.46118687887984
Polymer Matrix,Langmuir-Blodgett,1395.8542570085303,23.471604633654426,70.63591707647652,2.126734601179253,41.98976975126308
Carbon Nanotubes,Langmuir-Blodgett,1077.9497408478428,35.512228639027214,87.61370272121013,1.577077892783191,51.49065493363015
Polymer Matrix,Langmuir-Blodgett,1027.4022871700583,43.126000166752554,233.63121668462782,2.0867534494984312,56.279877783669264
Polymer Matrix,Electrospinning,660.3841338436714,45.55317768871795,175.91912582017204,2.2408630797975824,41.987815813099566
Carbon Nanotubes,Electrospinning,1215.4569553598167,10.232250436369705,112.86174255261008,2.4330959962247753,46.703742029296684
Carbon Nanotubes,Langmuir-Blodgett,1202.2986196378906,42.53849572538897,123.38358250008798,1.5454586918052207,42.45508183348888
Polymer Matrix,Electrospinning,1466.9513923338477,24.015693369877035,148.67663428180504,2.275042308812731,46.20961454303527
Polymer Matrix,Electrospinning,800.1921843056643,38.73513139104706,184.62600671254103,1.6325817069035748,56.605266881979006
Polymer Matrix,Electrospinning,1256.4454763675317,24.856054583999985,166.435977968754,2.2905863772293107,40.69693553581913
Graphene,Langmuir-Blodgett,934.0652611976291,34.249963471760594,236.5396249125883,2.388710285872585,52.94427288155936
Graphene,Langmuir-Blodgett,1058.472791616135,35.871297600240744,175.1497653144619,2.3612428314330245,41.19673190402327
Graphene,Electrospinning,1316.4538556005582,26.199710836649043,232.1583959209883,2.15287315745739,48.53091819322687
Carbon Nanotubes,Electrospinning,721.9950450189756,30.511413245509793,51.08603183291307,2.0007656288003104,49.481056373567014
Graphene,Electrospinning,842.8687395274148,39.052534876766735,228.11189438438927,2.374586712400721,48.03020076956305
Carbon Nanotubes,Electrospinning,1273.308670197597,29.052210747794483,194.29171759320886,2.019071260253617,52.74770946859679
Carbon Nanotubes,Langmuir-Blodgett,1070.457915287861,10.559219403406663,84.43869082241719,1.6901111279774919,59.4732677042615
Graphene,Electrospinning,592.4229169050702,10.516167879900632,102.60760384901022,2.442833032104235,45.34599608619881
Graphene,Langmuir-Blodgett,930.185866778513,36.452434001975746,158.5619998327763,1.8732906598769135,52.195380608470735
Graphene,Langmuir-Blodgett,1086.6333129730165,43.88950149822392,74.98763107010858,2.1243490281584347,47.09957096990288
Polymer Matrix,Langmuir-Blodgett,1409.5173164450525,41.41094150055986,207.07365382240914,1.6991458079941903,59.9900134841937
Graphene,Electrospinning,688.4880499386386,22.41601207732654,208.23477324448532,1.610539635991561,59.01993614259551
Polymer Matrix,Langmuir-Blodgett,1305.9529683774829,28.84511539987818,110.18979773101634,2.0510384502187824,41.86805744009508
Carbon Nanotubes,Langmuir-Blodgett,630.6244830765913,19.36642960406668,63.963400994559194,2.054594549833534,59.47191972540909
Polymer Matrix,Electrospinning,742.2356600758072,49.5659964266669,247.7694918467149,1.8697423395011974,54.76542706327964
Graphene,Electrospinning,743.3438834901231,20.420257970409278,100.14577584886497,1.8117385326417184,59.8468938061798
Carbon Nanotubes,Electrospinning,1377.4791959088325,26.650463713974663,63.51173026346901,1.874173487534935,55.41901319619456
Carbon Nanotubes,Langmuir-Blodgett,699.0176920149871,37.24515805297213,115.99299187671114,2.2951455998625017,42.57867080717395
Carbon Nanotubes,Electrospinning,1286.960726985409,45.04070678603104,243.80065243485862,1.8577347919252332,55.00937489003709
Polymer Matrix,Langmuir-Blodgett,961.8065340196199,12.059027362685462,208.585522550399,2.4213726736551697,54.53255231563959
Graphene,Langmuir-Blodgett,1499.0907677973107,22.040787041084858,146.06661596202866,1.61296246779108,43.33471553303102
Carbon Nanotubes,Electrospinning,1339.0914986521054,32.75943391857842,111.06608434513605,2.4315762948059136,55.063455821460664
Carbon Nanotubes,Langmuir-Blodgett,1239.703134447818,34.73252325504734,134.66121970949374,2.1895480055380525,53.495451947349565
Carbon Nanotubes,Langmuir-Blodgett,1370.7263066521955,12.801097539994434,53.47312164612843,1.8443509254874102,59.8888800130364
Polymer Matrix,Langmuir-Blodgett,1134.0303926050337,36.56314951368293,193.67409628826718,1.5068552232763264,52.37479140068024
Polymer Matrix,Langmuir-Blodgett,1343.6522565284977,31.12257462434297,69.92885431036864,2.3024316220114343,48.292192149532084
Graphene,Electrospinning,761.1268473614559,43.10509517448578,153.80751537486145,2.469327462971581,59.07830088681811
Polymer Matrix,Langmuir-Blodgett,597.7032111010749,18.887567048332027,163.16901057251394,2.4824393609129367,52.55683065218214
Carbon Nanotubes,Electrospinning,1115.9320070866688,17.801079400875043,50.33795486045878,1.9234052102368495,46.97264219952831
Graphene,Langmuir-Blodgett,934.690392663586,41.73348887711823,245.97572519548626,1.570504395536954,40.42091337064927
Carbon Nanotubes,Langmuir-Blodgett,926.440795292432,38.15476515758465,110.42780753777733,1.8137537857422434,55.13279136847692
Carbon Nanotubes,Electrospinning,1026.7478524300464,41.66693442310699,65.44485019842317,1.809740230013432,42.39052363735056
Polymer Matrix,Langmuir-Blodgett,861.3826115655424,41.27736564112318,220.87771165189804,1.6023812419433965,58.473387646759
Graphene,Langmuir-Blodgett,1126.0595314428292,14.160027033218427,80.39052081026905,2.0247165975665746,59.22783346988615
Polymer Matrix,Langmuir-Blodgett,530.5683673476299,21.143321891966032,54.99102724489771,2.1045784784843784,44.72842696981886
Polymer Matrix,Langmuir-Blodgett,1469.8913418817633,20.403405445457853,148.93813591857946,2.228819078305596,42.25610752507393
Graphene,Langmuir-Blodgett,1424.7089920455705,47.38349125667359,75.98339715951468,1.5510137445656202,51.90640062223038
Carbon Nanotubes,Langmuir-Blodgett,1435.2701625819336,29.49866296201382,246.48461327077615,1.7753973297858203,44.27463596622188
Carbon Nanotubes,Electrospinning,865.0034955837184,14.442285308000695,52.08219732250316,1.855203502272746,50.83679782758055
Graphene,Electrospinning,1031.8909576590997,21.58311623720075,60.23946883772639,2.392241359672752,48.284093100521886
Carbon Nanotubes,Electrospinning,1454.1306030575752,44.87606594065886,216.6567932797938,2.4013920115386016,55.84050750955236
Graphene,Langmuir-Blodgett,1402.3460564275865,43.88265512661253,97.95033920760518,1.759971864119557,59.997230724164766
Graphene,Langmuir-Blodgett,1290.2444759011473,46.01357933762149,232.31935067678884,1.9873310573970664,49.13608927930195
Polymer Matrix,Langmuir-Blodgett,907.3315898475925,25.541150909480802,112.22741069499196,1.9247563630983369,53.700349052536154
Graphene,Electrospinning,1064.3392231821736,35.65363845959986,63.956530272081146,2.026707577129492,46.836106051800996
Polymer Matrix,Langmuir-Blodgett,1292.9124742166478,21.126956795012948,52.118359808307126,1.7861147849475154,57.25002962399479
Carbon Nanotubes,Electrospinning,773.0119955400318,17.233013246094956,106.51345541143517,1.9629216474371654,40.73905290889974
Carbon Nanotubes,Langmuir-Blodgett,1126.4493682281113,10.876043037054718,144.74611509917986,1.6453704092471648,49.87044769831703
Carbon Nanotubes,Langmuir-Blodgett,1327.9343248518567,18.93763798757398,50.20322218521398,2.2095504493463056,43.53550874874507
Carbon Nanotubes,Langmuir-Blodgett,1207.4547917329014,34.17496547569092,166.22144050877887,1.8697404704538627,43.53686709051371
Polymer Matrix,Electrospinning,979.4806311910007,46.16841254427171,116.73231173494636,2.042416692933592,50.65991436584987
Carbon Nanotubes,Langmuir-Blodgett,1084.6083595551584,15.336822128617671,128.0307058724823,2.1046012175027107,46.155981876363455
Graphene,Electrospinning,1488.675543145794,46.72046243861768,102.28218963962132,2.336525696227777,49.18010024610297
Graphene,Langmuir-Blodgett,1101.9877946472102,23.815409394868855,155.80904108821255,1.5817593683500604,46.11319871815458
Graphene,Langmuir-Blodgett,1285.6177540186436,27.073136304572827,96.02452439362877,1.9827401494521386,49.101378969649346
Polymer Matrix,Electrospinning,1226.6047643776626,24.599141618749872,76.9644172312941,2.394072080303415,45.718403366130474
Carbon Nanotubes,Langmuir-Blodgett,1201.4906155293634,26.344325596788156,228.12941640960898,1.8297975094973276,56.07102584423516
Carbon Nanotubes,Langmuir-Blodgett,1216.3690551140435,20.36772596750661,128.1109966061105,1.9445261721105322,51.15656204276425
Carbon Nanotubes,Langmuir-Blodgett,954.4097512814639,37.94418713245754,65.38607004419836,1.5850743916891206,43.22866669043247
Polymer Matrix,Langmuir-Blodgett,974.1601745181254,40.32732441080668,96.06455091326629,2.2506733465584015,40.16916181085627
Graphene,Electrospinning,967.8627373607824,42.92451563409059,111.98858964016335,1.5850215762992692,40.34988874152523
Graphene,Electrospinning,533.2546072126081,23.651583334398683,203.92926186970814,2.1309780557045452,48.433802139481095
Carbon Nanotubes,Langmuir-Blodgett,741.0653303323235,40.58507564111179,54.451098905869834,1.8742451066849124,46.28237296830121
Graphene,Langmuir-Blodgett,654.5640066498828,35.50701429907261,145.64989769562288,1.8381595180311607,45.242223587424775
Graphene,Electrospinning,1386.4450113972573,48.31664347361571,131.53849707134356,2.085503693580077,52.4585141961776
Polymer Matrix,Langmuir-Blodgett,774.9693664529491,26.991406667941902,243.68008032698486,2.0676692357084225,56.2639682627012
Polymer Matrix,Electrospinning,638.4426344655403,49.69238911533418,86.01500245932229,1.9054529783257275,41.26759769766328
Polymer Matrix,Langmuir-Blodgett,619.766931910885,39.61576120031486,175.57414923274376,1.7783445678444854,42.19947201595756
Polymer Matrix,Electrospinning,1199.9898345521588,41.05111019835989,90.43937701854591,2.008168760018412,47.37492071588455
Carbon Nanotubes,Electrospinning,506.08331091495927,11.02819440438644,159.68441083436818,1.7671025994090208,48.82973076478895
Polymer Matrix,Electrospinning,971.3044017565082,29.89593405344386,161.01264650275783,1.602641328267279,47.904602354615974
Graphene,Electrospinning,618.8711055981962,31.133468492481008,65.06934597169045,2.2991524473029123,52.77273214409454
Carbon Nanotubes,Langmuir-Blodgett,1349.6633776359051,11.624004076823983,141.29025883944635,2.2023099111991375,41.74430608473256
